id,name,description,hours.openingHours,hours.closingHours,location.lat,location.lng,phone,surroundingHeights.N,surroundingHeights.NE,surroundingHeights.E,surroundingHeights.SE,surroundingHeights.S,surroundingHeights.SW,surroundingHeights.W,surroundingHeights.NW,type,url,googleMapsLocation,dateAdded
place-001,Maria Pandora,Bar with some tables outside,18,1,40.412487,-3.714564,34913641506,30,30,30,30,20,10,0,0,Bar,https://www.mariapandora.com/,https://maps.app.goo.gl/HboHBABQGGSC3F9EA,2025-05-26T12:00:00Z
place-002,Cervecería Plaza de San Andres,Spanish bar and restaurant,11,24,40.411965,-3.710981,N/A,10,10,15,15,30,10,10,20,Bar/Rest ,N/A,https://maps.app.goo.gl/y2krgXKtcGQXPbp59,2025-05-26T12:00:00Z
place-003,Rincón del Bierzo,Spanish bar and restaurant,8,24,40.403096,-3.71303,34653913702,0,30,30,30,20,20,20,20,Bar/Rest ,N/A,https://maps.app.goo.gl/HzZLMm3YaTPLVrr99,2025-05-28T12:00:00Z
place-004,El Mirador de San Isidro,Spanish bar and restaurant,7,24,40.402159,-3.713477,34633855701,0,30,30,30,20,20,20,20,Bar/Rest ,http://www.miradordesanisidro.com/,https://maps.app.goo.gl/Tcc9t18jM7QVQnEDA,2025-05-28T12:00:00Z
place-005,Lola Puñales,Mexican bar and restaurant,12,23,40.40228,-3.714917,34919314617,30,30,20,10,10,10,10,10,Bar/Rest ,http://xn--lolapuales-y9a.com/,https://maps.app.goo.gl/3GJSjDFc4X9Xsjsd7,2025-05-28T12:00:00Z
place-006,Restaurante Cantalejo,Spanish bar and restaurant,7,23,40.404075,-3.715713,34913655232,10,30,30,30,10,10,20,10,Bar/Rest ,N/A,https://maps.app.goo.gl/Kx2HzgsHTCdn9nx96,2025-05-28T12:00:00Z
place-007,Ojalá Beach Bar,Brunch and bar,9,1,40.425397,-3.703981,34915232747,30,30,15,15,20,25,30,30,Brunch/Bar,https://grupolamusa.com/restaurante-ojala-playa/,https://maps.app.goo.gl/xFpsFTjfn4G9CoG57,2025-05-28T12:00:00Z
place-008,Sardos Pizzería,Pizzeria restaurant,12,24,40.42721,-3.703716,34914488414,30,30,25,25,10,10,10,25,Bar/Rest ,http://sardospizzeria.es/,https://maps.app.goo.gl/YumBVjfHsGG5qrRK7,2025-05-28T12:00:00Z
place-009,El 2D,Spanish bar and tapas,11,1,40.42696,-3.703744,34914486472,20,25,25,25,15,10,10,10,Bar,https://xn--el2dbarmalasaa-2nb.com/,https://maps.app.goo.gl/MnBRvMstNjG2DcBs9,2025-05-28T12:00:00Z
place-010,Malabar,Bar with some tables outside,17,1,40.426705,3.703764,34915311317,10,15,15,20,30,30,10,10,Bar,N/A,https://maps.app.goo.gl/xZX7fbK9LMvAqy5H9,2025-05-28T12:00:00Z
place-011,Revoltosa Plaza del Rey,Spanish bar and restaurant,10,24,40.420404,-3.695891,34915319096,30,30,20,15,10,10,20,30,Bar/Rest ,http://www.revoltosamadrid.com/,https://maps.app.goo.gl/LZHYTeDCyK6c2xLg7,2025-05-28T12:00:00Z
place-012,Arzábal Retiro,Spanish bar and restaurant,12,1,40.420472,-3.679373,34914095661,10,30,30,30,10,10,10,10,Bar/Rest ,https://arzabal.com/,https://maps.app.goo.gl/T7tpr6aWfMGPL7Yp9,2025-05-28T12:00:00Z
place-013,Los Kioskos de Florida Park,Bar with tapas,17,24,40.418331,-3.679786,34918275275,10,10,10,10,10,15,15,15,Bar,https://floridapark.es/los-kioskos/,https://maps.app.goo.gl/vyUf1XmjAE4LybJCA,2025-05-28T12:00:00Z
place-014,La Platería,Spanish bar and restaurant,8,1,40.4127,-3.694176,34914291722,20,20,10,10,20,20,30,30,Bar/Rest ,N/A,https://maps.app.goo.gl/EGcMxSBkx65zBgVeA,2025-05-28T12:00:00Z
place-015,La Ley Seca,Spanish parrilla restaurant,9,1,40.409618,-3.696002,34609251943,30,30,20,15,15,15,15,30,Bar/Rest ,N/A,https://maps.app.goo.gl/rfjPR4MC7kqyq4Yx6,2025-05-28T12:00:00Z
place-016,Sports Bar Madrid,Spanish bar and tapas,18,24,40.42622,-3.696721,N/A,30,30,30,30,25,15,10,10,Bar/Rest ,https://sportsbarmadrid.com/,https://maps.app.goo.gl/MrLDLjNqf1iUuPFf7,2025-05-28T12:00:00Z
place-017,Mama Campo,Spanish bar and restaurant,13,24,40.432457,-3.700694,34914474138,10,15,20,30,20,15,10,10,Bar/Rest ,http://www.mamacampo.es/,https://maps.app.goo.gl/WZaSAZJPA6tuJP839,2025-05-28T12:00:00Z
place-018,Bar La Oliva,Spanish bar and restaurant,9,24,40.43316,-3.700871,34915912318,20,20,15,10,10,10,10,15,Bar/Rest ,http://www.barlaoliva.es/,https://maps.app.goo.gl/yQFXwwCPtKpXKZMA8,2025-05-28T12:00:00Z
place-019,Terraza La Matritense,Spanish bar and tapas,17,24,40.432579,-3.701472,34915225307,10,10,10,15,30,30,30,30,Bar,N/A,https://maps.app.goo.gl/CntGwNojt1WXHfNT9,2025-05-28T12:00:00Z